Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
Vg IK639 $U 	Trollhättan	Trollhättan	Väne hd	Trollhättan	SHM (35321)	6465896.1291858			1801 (Trollhättan), 296 [objektid=12000000121348]			U			metall	guld	brakteat (C-typ)	Hittad hösten 2009.		$=Fv 2013;153ff, http://kulturarvsdata.se/raa/fornvannen/html/2013_153; RGA-E 40:999	http://kulturarvsdata.se/shm/media/html/382877
Vg NOR1997;27  	Hols kyrka	Hols sn	Kullings hd	Vårgårda		6432190.1314234			1685 (Hol), 151 [objektid=12000000040088]			V	RAK [Gräslund muntligt]		sten		runsten			http://urn.nb.no/URN:NBN:no-44956	http://kmb.raa.se/cocoon/bild/object_list_simple?query=VgNf1996&showthumbnails=true
Vg NOR1997;28 $ 	Norra Åsarps by	Norra Åsarps sn	Redvägs hd	Falköping	Ekehagens forntidsby	6435556.1367346		6436452.1367221	1746 (Norra Åsarp), 30:2 (fyndplats) [objektid=10174600300002], 224 (nuv. plats) [objektid=10174602240001]			V			sten	gråbrun glimmrande skiffer	fragment av runsten			$=NOR 2001:33f, http://urn.nb.no/URN:NBN:no-45071; http://urn.nb.no/URN:NBN:no-44956	http://www.fmis.raa.se/fmis/bilder/14/1499/1746/foto/12000000498190_F.jpg
Vg NOR2001;28 M 	Årnäs (Aranäs)	Forshems sn	Kinne hd	Götene		6507961.1371358			1894 (Forshem), 9 [objektid=10189400090001]			M b 1300-t			övrigt	tegel	tegelsten	Fyndnr 2309.		http://urn.nb.no/URN:NBN:no-45071	
Vg NOR2002;34 M 	Årnäs (Aranäs)	Forshems sn	Kinne hd	Götene		6507961.1371358			1894 (Forshem), 9 [objektid=10189400090001]			M 1200-t			metall	bly	bleck			http://urn.nb.no/URN:NBN:no-45072	
Vg NOR2002;37  	Tun	Tuns sn	Åse hd	Lidköping	Tuns hembygdsförenings museum	6482763.1320802			2069 (Tun), 93 [objektid=10206900930001]			V?			sten	kalksten	fragment runsten eller gravhäll			http://urn.nb.no/URN:NBN:no-45072	
Vg SHM27600:74:NE3621 =Vg_ATA322-3593-2005 																		Bytt signum: Vg ATA322-3593-2005		Vg ATA322-3593-2005	
Vg SkalundaRaä50 =Vg_ATA322-3652-2010 																					
Vg VGD1984;75 M 	Lödöse (Eriksgatan)	Sankt Peders sn	Ale hd	Lilla Edet	Lödöse Museum	6439975.1284270			1763 (Sankt Peder), 23 (stadslager) [objektid=10176300230001]			M ca 1250			trä	trä	yxskaft (amulett)	Fyndnr CN 704.			
Vg VGD1984;79 M 	Lödöse (Eriksgatan)	Sankt Peders sn	Ale hd	Lilla Edet	Lödöse Museum	6439975.1284270			1763 (Sankt Peder), 23 (stadslager) [objektid=10176300230001]			M 1200-1250 (stratigr.)			trä	ek	träskiva				
Vg VGD1987;117  	Lödöse (Landstingsgropen)	Sankt Peders sn	Ale hd	Lilla Edet	Lödöse Museum	6440060.1284360			1763 (Sankt Peder), 23 (stadslager) [objektid=10176300230001]			V 1050-1100 (stratigr.)			ben/horn	nötkreatur	runben, revben (amulett)	Fyndnr AI 2593.			
Vg VGD1987;121 M 	Lödöse (Landstingsgropen)	Sankt Peders sn	Ale hd	Lilla Edet	Lödöse Museum	6440060.1284360			1763 (Sankt Peder), 23 (stadslager) [objektid=10176300230001]			M 1150-1200 (stratigr.)			ben/horn	horn	sylskaft (amulett)	Fyndnr AI 1131.			
Vg VGD1987;122 M 	Lödöse (Landstingsgropen)	Sankt Peders sn	Ale hd	Lilla Edet	Lödöse Museum	6440060.1284360			1763 (Sankt Peder), 23 (stadslager) [objektid=10176300230001]			M 1250-1300 (stratigr.)			trä	lövträ	runsticka (amulett)	Fyndnr AI 2671.			
U 1  	Adelsö kyrka	Adelsö sn	Färentuna hd	Ekerö		6583427.1598196			0001 (Adelsö), 49 [objektid=10000100490001]		A1; B1; C1 (?); D5; 0; F3; 0	V	Pr2?		sten	röd sandsten	runsten		B 276; L 331		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1&showthumbnails=true
U 2 † 	Adelsö kyrka	Adelsö sn	Färentuna hd	Ekerö		6583417.1598187			0001 (Adelsö)			V	?	Balle (A)	sten	sandsten	runsten		L 332		
U 3  	Alsnö hus	Adelsö sn	Färentuna hd	Ekerö	SHM (15825:1126)	6583494.1598392	nej		0001 (Adelsö), 47 [objektid=10000100470001]			V	?		sten	sandsten	fragment av runsten	Har använts som byggnadsmaterial.			http://kulturarvsdata.se/shm/media/html/312285
U 4  	Björkö	Adelsö sn	Färentuna hd	Ekerö	SHM (463:10)	6580390.1599095			0001 (Adelsö)	kortkvist		V 900-t	RAK?		sten	sandsten	runsten	l-runan har bistav på vänster sida.	L 334		http://kulturarvsdata.se/shm/media/html/240756
U 5  	Björkö	Adelsö sn	Färentuna hd	Ekerö	SHM (21404)	6580725.1599150			0001 (Adelsö)	kortkvist		V 900-t	RAK?		sten	röd sandsten	fragment av runsten				http://kulturarvsdata.se/shm/media/html/312278
U 6 $ 	Björkö	Adelsö sn	Färentuna hd	Ekerö	SHM (5208, 30573, 30574)	6580150.1599600			0001 (Adelsö), 250 (fyndplats) [objektid=12000000145662], 251 (fyndplats) [objektid=12000000145663]		A1; B1; ?; D3; E3, E7; F3; 0	V	Pr3?	Östen 1 (A)	sten	sandsten	10 fragment av runsten	Ett fragment upptäcktes 1992, låg som grundsten till en riven ladugård vid Oppgården. Ytterligare ett fragment påträffades 1993 och ännu ett 2012. Fragmenten pusslades ihop 2013.	U 7, U 8, U Fv1993;230	$=Material på Runverket, Raä; ATA Dnr 322-04083-2012; U 7, U 8, U Fv1993;230, http://fornvannen.se/pdf/1990talet/1993_223.pdf	http://kulturarvsdata.se/shm/media/html/312275, http://kulturarvsdata.se/shm/media/html/23733, http://kulturarvsdata.se/shm/media/html/23734, http://kulturarvsdata.se/shm/media/html/312277
U 7 =U_6 																		Utgör en del av U 6.		U 6	
U 8 =U_6 																		Utgör en del av U 6.		U 6	
U 9 $ 	Björkö	Adelsö sn	Färentuna hd	Ekerö	SHM (14515, 14201, 14926:2, 14980, 14926:1, 15140:1, 14134, 15140:2)	6580700.1599100	nej		0001 (Adelsö)			V	RAK?		sten	sandsten	8 fragment av runsten	Fragment A, C och D har passning. Ej funna vid samma tillfälle och alla hör knappast till samma sten. Jämför Källström 2007a:135.		$=Inventariehandlingar på SHM, läst efter teckningar	http://kulturarvsdata.se/shm/media/html/312282, http://kulturarvsdata.se/shm/media/html/312276, http://kulturarvsdata.se/shm/media/html/312274, http://kulturarvsdata.se/shm/media/html/312279, http://kulturarvsdata.se/shm/media/html/312261, http://kulturarvsdata.se/shm/media/html/312273, http://kulturarvsdata.se/shm/media/html/312281, http://kulturarvsdata.se/shm/media/html/312260
U 10 $ 	Dalby	Adelsö sn	Färentuna hd	Ekerö	Adelsö kyrka	6587146.1595880	nej	6583424.1598196	0001 (Adelsö), 57 (urspr. plats) [objektid=10000100570001], 49:2 (nuv. plats) [objektid=10000100490002]			V	RAK?		sten	röd sandsten	runsten	Källström (2007a:369) anser att det går en ordgräns efter R-runan i den antagna läsningen kaRþi.		$=Nordén 1943:220; $=Salberger 1978:107f	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u10&showthumbnails=true
U 11  	Hovgården	Adelsö sn	Färentuna hd	Ekerö		6583430.1598322	ja		0001 (Adelsö), 46:1 [objektid=10000100460001]			V 1075-1085	Pr4	Olev (A); Torgöt Fotsarve (A)	sten	grå granit	jordfast stenblock	Håkon bör vara Håkon den röde som var kung från 1073 och 13 år framåt. Det kan också vara den norske jarlen Håkon Ivarsson som avses, se Carlsson 1997.	B 1136, B 277; L 333		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u11&showthumbnails=true
U 12 † 	Bona	Munsö sn	Färentuna hd	Ekerö		6588100.1600150			0052 (Munsö)			V	?		sten		berghäll		B 282; L 335		
U 13  	Husby	Munsö sn	Färentuna hd	Ekerö		6584350.1603650			0052 (Munsö), 57:1(3) [objektid=10005200570001]			V	?		sten	granit	fragment av runsten		(B 1137); L 336		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u13&showthumbnails=true
U 14  	Österås, Munkudden	Munsö sn	Färentuna hd	Ekerö		6583234.1604663			0052 (Munsö), 55 [objektid=10005200550001]		A1 (?); B1; C6; D4; 0; F3; 0	V	Pr1		sten	granit	runsten		B 281; L 337		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u14&showthumbnails=true
U 15 M 	Ekerö kyrka	Ekerö sn	Färentuna hd	Ekerö	I vapenhuset.	6573999.1610790			0015 (Ekerö), 203 [objektid=12000000054286], 192 (tid. nr) [objektid=10001501920001]			M			sten	rödaktig sandsten	gravhäll	latininskrift	B 1140; L 1678		
U 16 † 	Nibble	Ekerö sn	Färentuna hd	Ekerö		6575300.1609400			0015 (Ekerö)		A4; B1; C1, C8; D4, D5; E2; F3; 0	V	?		sten		runsten		B 279; L 357		
U 17  	Skytteholm	Ekerö sn	Färentuna hd	Ekerö		6578416.1606527			0015 (Ekerö), 263 [objektid=12000000112709], 109:1(3) (tid. nr) [objektid=10001501090001]		A2; B2; C1, C8; D1; 0; F3; 0	V	Pr2		sten	granit	runsten		B 280; L 358		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u17&showthumbnails=true
U 18  	Stavsund	Ekerö sn	Färentuna hd	Ekerö		6575667.1606279			0015 (Ekerö), 22 [objektid=10001500220001]		A1; B4; 0; D1; E7; F3; 0	V	Fp?		sten	gnejs	runsten		B 278; L 359		
U 19  	Älby	Ekerö sn	Färentuna hd	Ekerö		6575677.1608845			0015 (Ekerö), 101 [objektid=10001501010001]		A4; B3; C8, C9; D1, D2; 0; F3; 0	V	RAK	Torbjörn 2 (A)	sten	sandsten	runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u19&showthumbnails=true
U 20 $ 	Färentuna kyrka	Färentuna sn	Färentuna hd	Ekerö	I norra sakristimuren.	6587111.1605137			0022 (Färentuna), 56:1 [objektid=10002200560001], 56:2 [objektid=10002200560002]			V	?	Torbjörn skald (A)	sten	granit	fragment av runsten	Häri ingår fragmentet U 21 som har passning med U 20.	L 338, L 339; U 21	$=Fv 1970:301, http://fornvannen.se/pdf/1970talet/1970_301.pdf	
U 21 =U_20 																		Utgör en del av U 20.		$=Fv 1970:301, http://fornvannen.se/pdf/1970talet/1970_301.pdf	
U 22 $ 	Kungsberga	Färentuna sn	Färentuna hd	Ekerö		6588248.1603461			0022 (Färentuna), 45:2 [objektid=10002200450002]			V	Pr2 - Pr3		sten	gnejs	runsten		B 284; L 340	$=Fältex. C	
U 23  	Hilleshögs kyrka	Hilleshögs sn	Färentuna hd	Ekerö		6587122.1607806			0029 (Hilleshög), 38:5 [objektid=10002900380005], 38:2 [objektid=10002900380002]		A1; B1; C6, C7, C9; D1; 0; F3; 0	V	Pr5	Öpir 1 (S)	sten	sandsten	2 delar av runsten		B 293; L 341		
U 24  	Hilleshögs kyrka	Hilleshögs sn	Färentuna hd	Ekerö		6587108.1607800			0029 (Hilleshög), 38:6 [objektid=10002900380006]			V	?	Torbjörn skald (A) [Källström 1999:54f]	sten	sandsten	fragment av runsten		L 342		
U 25  	Hilleshögs kyrka	Hilleshögs sn	Färentuna hd	Ekerö		6587129.1607801			0029 (Hilleshög), 38:1 [objektid=10002900380001]		A9; B1; 0; 0; 0; F1; 0	V	?		sten	gnejs	runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u25&showthumbnails=true
U 26  	Hilleshögs kyrka	Hilleshögs sn	Färentuna hd	Ekerö	I södra ytterväggen av sakristian.	6587121.1607808			0029 (Hilleshög), 38:3 [objektid=10002900380003]		A1; B1; 0; D1; E4; F3; 0	V	?		sten	sandsten	runsten	Rent ornamental.	L 343		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u26&showthumbnails=true
U 27  	Hilleshögs kyrka	Hilleshögs sn	Färentuna hd	Ekerö	I fönstret i sakristians södra yttervägg.	6587119.1607808			0029 (Hilleshög), 38:4 [objektid=10002900380004]		A5; B2; 0; D1; E4; F2; 0	V	?		sten	sandsten	runsten	Rent ornamental.			
U 28  	Hilleshögs kyrka	Hilleshögs sn	Färentuna hd	Ekerö		6587108.1607796			0029 (Hilleshög), 38:7 [objektid=10002900380007]			V	?		sten	sandsten	fragment av runsten	Eventuellt en bit av U 24.			
U 29 $ 	Hillersjö	Hilleshögs sn	Färentuna hd	Ekerö		6586808.1607947	ja		0029 (Hilleshög), 41 [objektid=10002900410001]			V	Pr4	Torbjörn skald (S)	sten		berghäll		B 291; L 2009	$=ATA Dnr 4503/87	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u29&showthumbnails=true
U 30  	Kvarsta	Hilleshögs sn	Färentuna hd	Ekerö		6586647.1606823			0029 (Hilleshög), 24 [objektid=10002900240001]			V	Pr2		sten	gnejs	runsten		B 292; L 344		
U 31  	Väntholmen	Hilleshögs sn	Färentuna hd	Ekerö		6590150.1607250		6589258.1608156	0029 (Hilleshög), 5:2 (fyndplats) [objektid=10002900050002], 5:1 (nuv. plats) [objektid=10002900050001]			V	?		sten		runsten				
U 32  	Stockby	Sånga sn	Färentuna hd	Ekerö		6581461.1607518			0095 (Sånga), 14:2 [objektid=10009500140002]		A4; B2; C1, C10; D1; E5; F3; 0	V	Pr1		sten	granit	runsten		B 297; L 348		
U 33 † 	Stockby	Sånga sn	Färentuna hd	Ekerö		6581550.1607350			0095 (Sånga)			V	?		sten		fragment av runsten		B 298; L 349		
U 34  	Sundby	Sånga sn	Färentuna hd	Ekerö		6582452.1608800			0095 (Sånga), 11 [objektid=10009500110001]		A4; B1; C3; D1; E5; F3; 0	V	Pr1	Balle (A)	sten		runsten		B 299; L 347		
U 35 $ 	Svartsjö	Sånga sn	Färentuna hd	Ekerö		6584106.1609631			0095 (Sånga), 34 [objektid=10009500340001]			V	Pr2		sten	granit	runsten	Prydd med två fyrfota djur, det ena biter det andra i ryggen.	B 295; L 345	$=Williams 1994	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u35&showthumbnails=true
U 36  	Svartsjö djurgård	Sånga sn	Färentuna hd	Ekerö		6582488.1608897			0095 (Sånga), 37 [objektid=10009500370001]		A1; B1; C8; D1; 0; F3; 0	V	Pr4	Öpir 1 (S)	sten	granit	runsten		B 296; L 346		
U 37  	Säby, Galgbacken	Sånga sn	Färentuna hd	Ekerö		6585200.1606161			0095 (Sånga), 66:2 [objektid=10009500660002]		A1; B1; 0; D1; E1, E7; F3; 0	V	Pr2	Torbjörn skald (S)	sten	granit	runsten				
U 38  	Säby, Galgbacken	Sånga sn	Färentuna hd	Ekerö		6585201.1606169			0095 (Sånga), 66:1 [objektid=10009500660001]			V	Pr2?	Balle (A) [Stille 1999b:158]	sten	gnejsgranit	runsten				
U 39 †$ 	Torslunda	Sånga sn	Färentuna hd	Ekerö		6583250.1607425			0095 (Sånga)		A4; B1; C1, C8; D1; E4; F3; 0	V	Pr2?		sten		bergvägg		B 294; L 350	$=SRI 6 s. 52 (Fig. 30)	
U 40  	Eneby	Skå sn	Färentuna hd	Ekerö		6579050.1610497			0084 (Skå), 54 [objektid=10008400540001]			V	Pr3	Troligen samma som gjort U 52.	sten	granit	runsten		B 290; L 355		
U 41  	Kumla	Skå sn	Färentuna hd	Ekerö		6582658.1610754	ja		0084 (Skå), 50:1(4) [objektid=10008400500001]		A4; B1; 0; D1; E3; F3; 0	V	Pr3	Ärnfast (S)	sten		berghäll		B 287; L 351		
U 42  	Troxhammar	Skå sn	Färentuna hd	Ekerö		6579503.1611876			0084 (Skå), 25 [objektid=10008400250001]			V	Pr4		sten		runsten		B 286; L 356		
U 43  	Törnby	Skå sn	Färentuna hd	Ekerö		6579970.1609500		6579868.1609519	0084 (Skå), 9 (nuv. plats) [objektid=10008400090001]		A4; B1; C6, C7; D1; E3; F3; 0	V	Pr3	Ärnfast (S)	sten	granit	runsten		B 285; L 352		
U 44 $ 	Törnby	Skå sn	Färentuna hd	Ekerö		6580222.1609556			0084 (Skå), 78 [objektid=10008400780001]			V	Pr4	Snare (S)	sten	granit	runsten	Återfunnen 1981.	B 288; L 353	$=Fv 1983:234, http://fornvannen.se/pdf/1980talet/1983_224.pdf	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u44&showthumbnails=true
U 45 $ 	Törnby	Skå sn	Färentuna hd	Ekerö		6580026.1609986	ja		0084 (Skå), 16 [objektid=10008400160001]		A1; B1; C8; D3; 0; F3; 0	V	Pr4	Sven 4 (S)	sten	granit	jordfast stenblock		B 289; L 354	$=Salberger 1974b:44 ff, Fältex. C	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u45&showthumbnails=true
U 46  	Lovö kyrka	Lovö sn	Färentuna hd	Ekerö		6579579.1615821			0046 (Lovö), 40 [objektid=10004600400001]		A1; B1; 0; D3; 0; F3; 0	V	?		sten		runsten		B 1113; L 361		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u46&showthumbnails=true
U 47  	Lovö kyrka	Lovö sn	Färentuna hd	Ekerö	På Lovö kyrkogård (ATA 5732/52).	6579582.1615839	nej		0046 (Lovö), 73 [objektid=10004600730001]		A4; B1; 0; D4; E3; F3; 0	V	Pr3	Ärnfast (A)	sten	granit	runsten		B 1116; L 360		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u47&showthumbnails=true
U 48  	Lovö kyrka	Lovö sn	Färentuna hd	Ekerö		6579583.1615849			0046 (Lovö), 41 [objektid=10004600410001]		A1; B1; C9; 0; E9; F3; 0	V	Pr4		sten	granit	runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u48&showthumbnails=true
U 49 $ 	Lovö kyrka	Lovö sn	Färentuna hd	Ekerö		6579589.1615823			0046 (Lovö), 39 [objektid=10004600390001]		A1; B1; C8; D1; E6; F3; 0	V s 1000-t	Pr3?	Samma som gjort U 50.	sten	sandsten	runsten	Degenererad runsten både vad gäller runformer, text och ornamentik.		$=Fältex. A	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u49&showthumbnails=true
U 50  	Lovö kyrka	Lovö sn	Färentuna hd	Ekerö		6579606.1615820			0046 (Lovö), 38 [objektid=10004600380001]		A1; B1; C7, C8; D1; E6; F3; 	V s 1000-t	?	Samma som gjort U 49.	sten	sandsten	runsten	Se U 49.			http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u50&showthumbnails=true
U 51 † 	Drottningholm	Lovö sn	Färentuna hd	Ekerö		6580350.1618000			0046 (Lovö)			V	Pr3	Ärnfast (A)	sten		runsten		B 283; L 362		
U 52  	Edeby	Lovö sn	Färentuna hd	Ekerö		6577921.1617259	ja		0046 (Lovö), 53:2 [objektid=10004600530002]			V	Pr3	Troligen samma som gjort U 40.	sten		berghäll				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u52&showthumbnails=true
U 53  	Kåkbrinken	Stockholm		Stockholm		6580402.1628940			0091 (Stockholm), 9 [objektid=10009100090001]			V	Pr4		sten	granit	runsten		B 136; L 365		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u53&showthumbnails=true
U 54 † 	Riddarholmskyrkan	Stockholm		Stockholm		6580377.1628605			0091 (Stockholm), 147 [objektid=10009101470001]			V	?		sten		runsten		B 1123, B 135; L 363		
U 55 † 	Ekeby, Bromma församling	Stockholm		Stockholm		6583775.1621213			0091 (Stockholm); 3020 (Bromma), 145 [objektid=10302001450001]			V	?		sten		fragment av runsten				
U 56 $ 	Glia, Bromma församling	Stockholm		Stockholm		6582685.1621811		6582591.1622136	0091 (Stockholm); 3020 (Bromma), 38 (nuv. plats) [objektid=10302000380001]		A1; B1; 0; D4; E9; F2; 0	V	Pr2		sten	gnejs	runsten		B 149; L 371	$=ATA Dnr 423-4102-1996	
U 57  	Riksby, Bromma församling	Stockholm		Stockholm	Stockholms stadsmuseum (274), eventuellt försvunnen.	6581872.1621780			0091 (Stockholm); 3020 (Bromma), 126 [objektid=10302001260001]		A8; B2; 0; 0; 0; F1; 0 & A8; B2; C1; 0; 0; F1; 0	V	Pr3		sten	gnejs	fragment av runsten	Tre fragment bevarade.			
U 58  	Riksby, Bromma församling	Stockholm		Stockholm		6581758.1621747	ja		0091 (Stockholm); 3020 (Bromma), 13:1 [objektid=10302000130001]		A3; B3; C4; D1; E3; F3; 0	V	Pr4	Torgöt Fotsarve (A)	sten	gnejsgranit	berghäll				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u58&showthumbnails=true
U 59  	Riksby, Bromma församling	Stockholm		Stockholm		6581754.1621752	ja		0091 (Stockholm); 3020 (Bromma), 13:2 [objektid=10302000130002]			V	Pr4	Ulv 2 (S); Fastulv 2 ? (S)	sten	gnejsgranit	berghäll				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u59&showthumbnails=true
U 60  	Ängby, Bromma församling	Stockholm		Stockholm		6582950.1619220			0091 (Stockholm); 3020 (Bromma), 72 [objektid=10302000720001]		A4; B2; C9, C10; D1; E3; F3; 0	V ca 1100	Pr3 - Pr4	Samma som gjort U 124.	sten	gnejs	runsten	Ornamental slinga på höger sida.	L 372		
U 61  	Spånga kyrka	Spånga sn	Sollentuna hd	Stockholm		6587527.1619707			0091 (Stockholm); 3047 (Spånga), 284:3 [objektid=10304702840003]		A4; B3; C6, C7; D1; 0; F3; G6 & A1; B2; 0; D1; E9; F3; 0	V	RAK	Gunnar (A)	sten	granit	runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u61&showthumbnails=true
U 62  	Spånga kyrka	Spånga sn	Sollentuna hd	Stockholm		6587543.1619675			0091 (Stockholm); 3047 (Spånga), 61 [objektid=10304700610001]		A4; B1; 0; D4; E3; F3; 0	V	Pr3	Fot 2 (A)	sten	gnejs	runsten		B 154; L 374		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u62&showthumbnails=true
U 63 $ 	Spånga kyrka	Spånga sn	Sollentuna hd	Stockholm	I vapenhuset. Ett fragment inmurat på utsidan av södra långhusmuren.	6587543.1619675			0091 (Stockholm); 3047 (Spånga), 61 [objektid=10304700610001], 284 [objektid=10304702840001], 284:2 [objektid=10304702840002]		A4; B1; C8; D1; E3; F3; 0	V	?	Olev (A) [Källström 2010e]	sten	röd sandsten	fragment av runsten	Ett runlöst fragment av U 63 har återfunnits. Ytterligare ett fragment med tidigare signum U ATA4027/61 utgör rotpartiet till runstenen.	B 152; L 373; U ATA4027/61	$=ATA Dnr 431-4201-1997; $=Källström 2010e:191f	
U 64 M 	Spånga kyrka	Spånga sn	Sollentuna hd	Stockholm	I vapenhuset.	6587543.1619675			0091 (Stockholm); 3047 (Spånga), 61 [objektid=10304700610001]			M			sten	rödbrun sandsten	gravhäll, lockhäll		L 1679		
U 65 $ 	Spånga kyrka	Spånga sn	Sollentuna hd	Stockholm	I vapenhuset.	6587553.1619689			0091 (Stockholm); 3047 (Spånga)			V	?		sten	rödbrun sandsten	fragment av runsten	Återfunnen 1953.		$=Fv 1953: 269, http://fornvannen.se/pdf/1950talet/1953_262.pdf; $=Stille 1999a:87f	
U 66 $ 	Spånga kyrka	Spånga sn	Sollentuna hd	Stockholm	I vapenhuset.	6587543.1619675			0091 (Stockholm); 3047 (Spånga), 61 [objektid=10304700610001]			V	?	Visäte (A) [Källström 1992]	sten	sandsten	fragment av runsten			$=Källström 1992:40	
U 67  	Spånga kyrka	Spånga sn	Sollentuna hd	Stockholm	I vapenhuset.	6587543.1619675			0091 (Stockholm); 3047 (Spånga), 61 [objektid=10304700610001]			V	?	Öpir 1 (A) [för få runor för attr. enl. Åhlén 1997]	sten	sandsten	fragment av runsten				
U 68  	Spånga prästgård	Spånga sn	Sollentuna hd	Stockholm	I vapenhuset.	6587500.1619750		6587543.1619675	0091 (Stockholm); 3047 (Spånga), 61 (nuv. plats) [objektid=10304700610001]	s och t är kortkvistrunor		V	?	Visäte (A)	sten	sandsten	fragment av runsten				
U 69  	Eggeby	Spånga sn	Sollentuna hd	Stockholm		6588251.1620266			0091 (Stockholm); 3047 (Spånga), 153 [objektid=10304701530001]		A4; B1; 0; D4; E7; F3; 0	V	RAK	Gunnar (A)	sten	gnejs	runsten	Ett kors finns på baksidan av stenen.	B 153, B 146; L 378		
U 70 † 	Flysta	Spånga sn	Sollentuna hd	Stockholm		6585300.1619300			0091 (Stockholm); 3047 (Spånga)			V	Pr1	Torbjörn skald (S)	sten		runsten		B 149; L 377		
U 71 † 	Granby	Spånga sn	Sollentuna hd	Stockholm		6588500.1620200			0091 (Stockholm); 3047 (Spånga)			V	?		sten		fragment av runsten				
U 72  	Hansta (numera Hägerstalund)	Spånga sn	Sollentuna hd	Stockholm	Skansen	6590906.1618908		6580685.1630812	0091 (Stockholm); 3047 (Spånga), 146 (urspr. plats) [objektid=10304701460001]		A4; B2; C2, C6; D1; E5; F3; 0	V	Pr3	Visäte (A)	sten	granit	runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u72&showthumbnails=true
U 73  	Hansta (numera Hägerstalund)	Spånga sn	Sollentuna hd	Stockholm		6590906.1618908			0091 (Stockholm); 3047 (Spånga), 146:1(3) [objektid=10304701460001]		A4; B4; C8; D1, D2; 0; F3; 0	V	Pr3	Visäte (A)	sten	granit	runsten		B 155; L 2011		
U 74  	Husby	Spånga sn	Sollentuna hd	Stockholm		6589390.1619920			0091 (Stockholm); 3047 (Spånga), 80 [objektid=10304700800001]		A4; B1; C6, C7; D1; E5; F3; G3, G4	V	Pr3	Visäte (S)	sten	gnejs	runsten		B 150; L 379		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u74&showthumbnails=true
U 75  	Kista	Spånga sn	Sollentuna hd	Stockholm		6589460.1621288			0091 (Stockholm); 3047 (Spånga), 164 [objektid=10304701640001]		A4; B1; C9; D1; E3; F3; 0	V	Pr4	Visäte (A)	sten	granit	runsten		L 375		
U 76  	Kista	Spånga sn	Sollentuna hd	Stockholm	SHM (22174)	6589400.1621286			0091 (Stockholm); 3047 (Spånga), 254 [objektid=10304702540001]			V	Pr4		sten	granit	fragment av runsten				http://kulturarvsdata.se/shm/media/html/24388, http://kulturarvsdata.se/shm/media/html/24389
U 77 $ 	Råsta	Spånga sn (nu Sundbyberg)	Sollentuna hd	Stockholm		6586218.1623330			0094 (Sundbyberg), 12 [objektid=10009400120001]; 3047 (Spånga), 197 (tid. nr) [objektid=10304701970001]			V	Pr4	Torgöt Fotsarve (A); Olev (A) [Källström 2010e:191f]	sten	gråsten	runsten		B 147; L 380	$=Fältex. A	
U 78  	Råsta	Spånga sn (nu Sundbyberg)	Sollentuna hd	Sundbyberg	I Sundbybergs hembygdsmuseum.	6586218.1623330		6584655.1622688	0094 (Sundbyberg), 34:2 (nuv. plats) [objektid=10009400340002]; 3047 (Spånga)		A1; B1; C10; D1; 0; F3; 0	V	Pr5	Öpir 1 (A) [ej Öpir, Åhlén 1997]	sten	gråsten	runsten	Endast två fragment bevarade.	B 156; L 381		
U 79  	Skesta	Spånga sn	Sollentuna hd	Stockholm	Vid Hässelby slott.	6586918.1617828		6584636.1616625	0091 (Stockholm); 3047 (Spånga), 43:1 (urspr. plats) [objektid=10304700430001], 23 (nuv. plats) [objektid=10304700230001]		A4; B3; C6, C7; D1, D4; E3; F3; 0	V	Pr3	Ärnfast (S)	sten	granit	runsten		B 151; L 382		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u79&showthumbnails=true
